Data Desc;FOGO;TAMANHO;MARCA;MOTIVO
02/03/2022;N5067;1100R22;MICHELIN;
02/03/2022;N5119;1100R22;GOODYEAR;
02/03/2022;N5168;295/80R22,5;BRIDGESTONE;
02/03/2022;N6762;295/80R22,5;MICHELIN;
02/03/2022;N7082;295/80R22,5;MICHELIN;
02/03/2022;N6773;295/80R22,5;MICHELIN;
03/01/2022;N6542;295/80R22,5;GOODYEAR;
03/01/2022;N7308;295/80R22,5;GOODYEAR;
03/01/2022;N7245;1100R22;GOODYEAR;
03/01/2022;N7037;900R20;PIRELLI;
03/01/2022;N6683;1100R22;GOODYEAR;
03/01/2022;N6322;1100R22;GOODYEAR;
03/01/2022;N5961;1100R22;GOODYEAR;
03/01/2022;N5480;1100R22;GOODYEAR;
03/01/2022;N6207;295/80R22,5;MICHELIN;
13/12/2021;N6562;1100R22;GOODYEAR;
13/12/2021;N5429;1100R22;GOODYEAR;
13/12/2021;N1674;1100R22;PIRELLI;
13/12/2021;N6706;275/80R22,5;GOODYEAR;
13/12/2021;N5792;275/80R22,5;GOODYEAR;
13/12/2021;N6188;275/80R22,5;PIRELLI;
13/12/2021;N6274;275/80R22,5;MICHELIN;
13/12/2021;N6273;275/80R22,5;MICHELIN;
13/12/2021;N5273;275/80R22,5;GOODYEAR;
13/12/2021;N7657;295/80R22,5;BOTO;
13/12/2021;N6767;295/80R22,5;DUNLOP;
13/12/2021;N7848;295/80R22,5;PIRELLI;Dano no Talão
11/03/2022;N6950;1100R22;PIRELLI;
11/03/2022;N6648;295/80R22,5;CONTINENTAL;Ruptura Circunferencial
11/03/2022;N2942;1100R22;MICHELIN;Fadiga Natural
11/03/2022;N5926;295/80R22,5;MICHELIN;Fadiga Natural
11/03/2022;N6936;295/80R22,5;PIRELLI;Arrancamento do Ombro
11/03/2022;N7472;295/80R22,5;PIRELLI;Aquecimento no Talão
11/03/2022;N6676;295/80R22,5;GOODYEAR;Soltou borracha
11/03/2022;N6527;1100R22;GOODYEAR;Soltou borracha
22/03/2022;N6495;295/80R22,5;MICHELIN;
22/03/2022;N6995;295/80R22,5;PIRELLI;
22/03/2022;N7656;295/80R22,5;BOTO;
10/03/2022;N6353;295/80R22,5;GOODYEAR;
10/03/2022;N7102;295/80R22,5;PIRELLI;
10/03/2022;N6091;295/80R22,5;GOODYEAR;
10/03/2022;N7487;295/80R22,5;BRIDGESTONE;
10/03/2022;N5838;295/80R22,5;GOODYEAR;
10/03/2022;N7306;295/80R22,5;GOODYEAR;
10/03/2022;N7429;295/80R22,5;CONTINENTAL;
10/03/2022;N7545;295/80R22,5;CONTINENTAL;
24/03/2022;N4755;1100R22;GOODYEAR;Impacto
24/03/2022;N6413;295/80R22,5;GOODYEAR;Desagregação nas Cintas
24/03/2022;N6623;295/80R22,5;GOODYEAR;Infiltração de Ar
24/03/2022;N5771;1100R22;GOODYEAR;Arrancamento do Ombro
24/03/2022;N6593;295/80R22,5;GOODYEAR;Dano no Talão
24/03/2022;N6333;275/80R22,5;PIRELLI;Impacto
24/03/2022;N5796;275/80R22,5;GOODYEAR;Desagregação nas Cintas
01/04/2022;N7045;295/80R22,5;PIRELLI;Aquecimento no Talão
01/04/2022;N7798;295/80R22,5;GOODYEAR;Aquecimento no Talão
07/04/2022;N7726;295/80R22,5;MICHELIN;Dano no Flanco
07/04/2022;N7428;295/80R22,5;CONTINENTAL;Aquecimento no Talão
07/04/2022;N7375;295/80R22,5;PIRELLI;Aquecimento no Talão
07/04/2022;N7656;295/80R22,5;BOTO;Separação no Flanco
05/04/2022;N7271;295/80R22,5;PIRELLI;Ruptura Circunferencial
05/04/2022;N7511;295/80R22,5;PIRELLI;Aquecimento no Talão
12/04/2022;N6836;275/80R22,5;GOODYEAR;Infiltração de Ar
12/04/2022;N6625;295/80R22,5;GOODYEAR;Aquecimento no Talão
12/04/2022;N5789;275/80R22,5;GOODYEAR;Aquecimento no Talão
12/04/2022;N6445;275/80R22,5;BRIDGESTONE;Dano no Talão
12/04/2022;N6874;295/80R22,5;MICHELIN;Impacto
12/04/2022;N7157;295/80R22,5;PIRELLI;Aquecimento no Talão
14/04/2022;N3852;1100R22;GOODYEAR;Infiltração de Ar
14/04/2022;N5790;275/80R22,5;GOODYEAR;Corte Lateral
20/04/2022;N6096;295/80R22,5;MICHELIN;
20/04/2022;N7039;295/80R22,5;GOODYEAR;
20/04/2022;N6983;295/80R22,5;FIRESTONE;
28/04/2022;N7163;295/80R22,5;FIRESTONE;Impacto
28/04/2022;N5202;1100R22;GOODYEAR;Impacto
28/04/2022;N7347;295/80R22,5;GOODYEAR;Corte Lateral
03/05/2022;N4364;295/80R22,5;MICHELIN;Rachadura Circunferencial
03/05/2022;N5522;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
03/05/2022;N6423;295/80R22,5;BRIDGESTONE;Dano no Talão
03/05/2022;N6968;295/80R22,5;MICHELIN;Separação no Ombro
03/05/2022;N6982;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
03/05/2022;N6994;1100R22;PIRELLI;Rachadura Circunferencial
03/05/2022;N7287;295/80R22,5;PIRELLI;Ruptura Circunferencial
03/05/2022;N7318;295/80R22,5;MICHELIN;Dano no Talão
03/05/2022;N7667;1100R22;GOODYEAR;Dano no Flanco
13/05/2022;DOT2014;295/80R22,5;GOODYEAR;Rachadura Circunferencial
13/05/2022;N6659;295/80R22,5;GOODYEAR;Rachadura Circunferencial
13/05/2022;N3523;295/80R22,5;GOODYEAR;Rachadura Circunferencial
13/05/2022;N3032;295/80R22,5;MICHELIN;Rachadura Circunferencial
13/05/2022;N4630;275/80R22,5;BRIDGESTONE;Rachadura Circunferencial
13/05/2022;N5418;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
13/05/2022;N7489;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
13/05/2022;N5306;1100R22;GOODYEAR;Impacto
13/05/2022;N4112;295/80R22,5;MARSHAL;Rachadura Circunferencial
13/05/2022;N7763;295/80R22,5;BRIDGESTONE;Dano no Talão
13/05/2022;N7182;295/80R22,5;PIRELLI;Dano no Talão
13/05/2022;N7039;295/80R22,5;GOODYEAR;Ressecado
13/05/2022;N6983;295/80R22,5;FIRESTONE;Dano no Talão
13/05/2022;N6096;275/80R22,5;CONTINENTAL;Soltou borracha
13/05/2022;N5087;295/80R22,5;BRIDGESTONE;Soltou borracha
13/05/2022;N6713;295/80R22,5;GOODYEAR;Dano no Talão
13/05/2022;N5992;1100R22;GOODYEAR;Ressecado
16/05/2022;N6724;275/80R22,5;GOODYEAR;Rachadura Circunferencial
18/05/2022;N3835;295/80R22,5;BRIDGESTONE;Separação no Ombro
18/05/2022;N7589;295/80R22,5;MICHELIN;Separação do Flanco
18/05/2022;N7521;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
18/05/2022;N7141;295/80R22,5;GOODYEAR;Separação do Flanco
18/05/2022;N6873;295/80R22,5;MICHELIN;Rachadura Circunferencial
18/05/2022;N6549;295/80R22,5;GOODYEAR;Dano no Talão
19/05/2022;N6087;900R20;GOODYEAR;Infiltração de Ar
01/06/2022;N6900;275/80R22,5;PIRELLI;Aquecimento no Talão
01/06/2022;N5845;275/80R22,5;GOODYEAR;Dano no Talão
01/06/2022;dot4717;295/80R22,5;GOODYEAR;Ruptura Circunferencial
08/06/2022;N6429;295/80R22,5;GOODYEAR;Rachadura Circunferencial
08/06/2022;N3404;295/80R22,5;GOODYEAR;Rachadura Circunferencial
08/06/2022;N7754;275/80R22,5;DUNLOP;Infiltração de Ar
08/06/2022;N7788;295/80R22,5;PIRELLI;Aquecimento no Talão
08/06/2022;N7219;295/80R22,5;BRIDGESTONE;Infiltração de Ar
08/06/2022;N5660;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
08/06/2022;N4429;275/80R22,5;GOODYEAR;Aquecimento no Talão
08/06/2022;DOT2419;295/80R22,5;PIRELLI;Rachadura Circunferencial
08/06/2022;N5492;1100R22;GOODYEAR;Separação no Ombro
08/06/2022;N6926;295/80R22,5;PIRELLI;Infiltração de Ar
08/06/2022;N7042;900R20;PIRELLI;Separação no Ombro
07/06/2022;N7288;295/80R22,5;PIRELLI;Aquecimento no Talão
14/06/2022;N6502;295/80R22,5;MICHELIN;Bande de Rodagem
14/06/2022;N6504;295/80R22,5;MICHELIN;Rachadura Circunferencial
24/06/2022;N7061;295/80R22,5;MICHELIN;Impacto
24/06/2022;N6061;295/80R22,5;GOODYEAR;Rachadura Circunferencial
24/06/2022;N7397;295/80R22,5;PIRELLI;Rachadura Circunferencial
24/06/2022;N7386;295/80R22,5;PIRELLI;Aquecimento no Talão
24/06/2022;N6481;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
24/06/2022;N6123;275/80R22,5;MICHELIN;Ferida Acidental no Flanco
24/06/2022;N3826;295/80R22,5;BRIDGESTONE;Rachadura Circunferencial
24/06/2022;N7307;295/80R22,5;GOODYEAR;Infiltração de Ar
24/06/2022;N7378;295/80R22,5;PIRELLI;Infiltração de Ar
24/06/2022;N4450;1100R22;BRIDGESTONE;Aquecimento no Talão
24/06/2022;N6894;1100R22;PIRELLI;Soltou borracha
28/06/2022;N4839;295/80R22,5;BRIDGESTONE;Aquecimento no Talão
12/07/2022;N7019;1100R22;PIRELLI;Impacto
12/07/2022;N7079;295/80R22,5;MICHELIN;Aquecimento do Talão
12/07/2022;N7119;295/80R22,5;MICHELIN;Bolha
12/07/2022;N7292;295/80R22,5;PIRELLI;Aquecimento do Talão
12/07/2022;N7334;1100R22;PIRELLI;Impacto
12/07/2022;N7559;1100R22;CONTINENTAL;Bolha
12/07/2022;N7623;295/80R22,5;BRIDGESTONE;Aquecimento do Pneu
12/07/2022;N7654;295/80R22,5;BOTO;Bolha
20/07/2022;N7839;295/80R22,5;BRIDGESTONE;Aquecimento do Talão
25/07/2022;N5817;295/80R22,5;CONTINENTAL;Infiltração de Ar
